"Tanggal","Terakhir","Pembukaan","Tertinggi","Terendah","Vol.","Perubahan%"
"01/04/2022","2.280","2.240","2.310","2.220","39,77M","2,24%"
"31/03/2022","2.230","2.210","2.310","2.200","36,42M","2,76%"
"30/03/2022","2.170","2.240","2.250","2.150","18,14M","-1,36%"
"29/03/2022","2.200","2.270","2.270","2.190","15,31M","-2,65%"
"28/03/2022","2.260","2.260","2.280","2.210","16,72M","0,00%"
"25/03/2022","2.260","2.330","2.350","2.240","26,57M","-3,42%"
"24/03/2022","2.340","2.290","2.360","2.290","37,65M","2,63%"
"23/03/2022","2.280","2.300","2.320","2.240","40,97M","0,44%"
"22/03/2022","2.270","2.150","2.270","2.150","47,99M","5,58%"
"21/03/2022","2.150","2.200","2.230","2.140","23,53M","-2,27%"
"18/03/2022","2.200","2.160","2.240","2.160","31,99M","1,85%"
"17/03/2022","2.160","2.230","2.230","2.140","31,45M","-3,14%"
"16/03/2022","2.230","2.160","2.230","2.110","55,43M","4,21%"
"15/03/2022","2.140","2.140","2.250","2.080","69,32M","-3,17%"
"14/03/2022","2.210","2.370","2.430","2.210","71,91M","-6,75%"
"11/03/2022","2.370","2.450","2.540","2.370","58,42M","-3,66%"
"10/03/2022","2.460","2.450","2.540","2.380","139,59M","-3,53%"
"09/03/2022","2.550","2.650","2.730","2.550","151,03M","-6,93%"
"08/03/2022","2.740","3.000","3.000","2.740","46,00M","-6,80%"
"07/03/2022","2.940","3.000","3.120","2.860","115,77M","0,00%"
"04/03/2022","2.940","2.770","2.990","2.740","156,31M","8,89%"
"02/03/2022","2.700","2.650","2.920","2.620","151,97M","5,88%"
"01/03/2022","2.550","2.250","2.750","2.250","230,84M","14,35%"
"25/02/2022","2.230","2.300","2.350","2.220","87,81M","-0,45%"
"24/02/2022","2.240","2.120","2.250","2.050","129,57M","7,18%"
"23/02/2022","2.090","2.110","2.120","2.060","33,14M","1,46%"
"22/02/2022","2.060","2.030","2.080","2.010","19,87M","1,48%"
"21/02/2022","2.030","2.070","2.080","2.020","17,59M","-1,46%"
"18/02/2022","2.060","2.040","2.090","1.995","32,82M","0,98%"
"17/02/2022","2.040","2.140","2.150","2.020","55,37M","-5,12%"
"16/02/2022","2.150","2.180","2.200","2.130","19,92M","-0,92%"
"15/02/2022","2.170","2.180","2.220","2.120","39,07M","0,00%"
"14/02/2022","2.170","2.170","2.250","2.150","74,40M","-0,46%"
"11/02/2022","2.180","2.060","2.190","2.040","50,64M","5,31%"
"10/02/2022","2.070","2.100","2.120","2.040","32,43M","-0,96%"
"09/02/2022","2.090","2.050","2.170","2.030","82,84M","3,47%"
"08/02/2022","2.020","1.960","2.050","1.960","46,38M","3,06%"
"07/02/2022","1.960","2.000","2.030","1.945","36,13M","-0,76%"
"04/02/2022","1.975","2.020","2.060","1.975","29,83M","-2,23%"
"03/02/2022","2.020","2.090","2.090","1.940","90,58M","-1,94%"
